metric,key,value
feasible_pct,-,26.5
cause_count,quality(C4),570
cause_count,capacity_vs_demand,312
logit_coef,x,3.074
logit_coef,beta,3.9086
logit_coef,beta_f,3.3452
logit_coef,phi_final,-1.5303
logit_coef,a,0.0185
logit_coef,theta,-5.5409
logit_coef,r,0.108
logit_coef,c_base,-0.0387
logit_coef,c_fix_b,-0.1418
logit_coef,c_test,0.0114
tercile_spread_pp,x,28.14
tercile_spread_pp,beta,36.39
tercile_spread_pp,beta_f,31.39
tercile_spread_pp,phi_final,11.87
tercile_spread_pp,a,2.43
tercile_spread_pp,theta,47.87
tercile_spread_pp,r,1.13
tercile_spread_pp,c_base,3.32
tercile_spread_pp,c_fix_b,1.63
tercile_spread_pp,c_test,6.89
