dppm_cap,transition_Ht_over_Hb
200,1.287218
250,1.110079
300,0.899510
350,0.834374
355,0.824065
360,0.813937
365,0.803987
370,0.794209
375,0.784599
380,0.775152
385,0.765865
390,0.756734
395,0.747754
400,0.738921
405,0.730233
410,0.728352
415,0.728352
420,0.728352
425,0.728352
430,0.728352
435,0.728352
440,0.728352
445,0.728352
450,0.728352
455,0.728352
460,0.728352
465,0.728352
470,0.728352
475,0.728352
480,0.728352
485,0.728352
490,0.728352
495,0.728352
500,0.728352
600,0.728352
1000,0.728352
5000,0.728352
