x,share_8Hi,share_12Hi,share_16Hi,binding
0.9425,37.28,32.95,29.77,C1b_tester|C2_seg1|C4_dppm
0.9450,42.53,20.71,36.76,C1b_tester|C2_seg1|C4_dppm
0.9475,48.04,7.69,44.27,C1b_tester|C2_seg1|C4_dppm
0.9500,51.87,33.11,15.02,C1b_tester|C2_seg1|C4_dppm
0.9525,45.85,54.15,0.00,C1b_tester|C4_dppm
0.9550,37.70,62.30,0.00,C1b_tester|C4_dppm
0.9575,28.79,71.21,0.00,C1b_tester|C4_dppm
0.9600,18.96,81.04,0.00,C1b_tester|C4_dppm
0.9625,8.02,91.98,0.00,C1b_tester|C4_dppm
0.9650,73.18,23.84,2.98,C1b_tester|C2_seg1|C4_dppm
0.9675,76.98,10.41,12.61,C1b_tester|C2_seg1|C4_dppm
0.9700,76.65,0.00,23.35,C1b_tester|C4_dppm
0.9725,40.10,25.75,34.15,C1a_bonder|C1b_tester|C4_dppm
0.9750,0.00,56.51,43.49,C1a_bonder|C1b_tester
0.9775,0.00,56.03,43.97,C1a_bonder|C1b_tester
0.9800,0.00,19.55,80.45,C1a_bonder|C1b_tester
0.9825,0.00,0.00,100.00,C1a_bonder
0.9850,0.00,0.00,100.00,C1a_bonder
0.9875,0.00,0.00,100.00,C1a_bonder
0.9900,0.00,0.00,100.00,C1a_bonder
