L,m,positions,dppm,e_layer,uniform_k,uniform_dppm,top_half_share
8,1,8,16221.7747,8.0,,,1.0
8,2,7|8,2540.7889,7.79031,4,8034.6332,1.0
8,3,6|7|8,1935.671,7.59833,,,1.0
8,4,5|6|7|8,1910.0033,7.43518,2,3887.0379,1.0
8,5,4|5|6|7|8,1908.9586,7.30236,,,0.8
8,6,3|4|5|6|7|8,1908.9188,7.20099,,,0.6667
8,7,2|3|4|5|6|7|8,1908.9174,7.13222,,,0.5714
8,8,1|2|3|4|5|6|7|8,1908.9174,7.09722,1,1908.9174,0.5
12,1,12,25979.999,12.0,,,1.0
12,2,11|12,3047.1327,11.69198,,,1.0
12,3,10|11|12,1961.0312,11.39302,4,8059.6844,1.0
12,4,9|10|11|12,1911.2714,11.11873,,,1.0
12,5,8|9|10|11|12,1909.022,10.87073,,,1.0
12,6,7|8|9|10|11|12,1908.9219,10.65001,2,3887.07,1.0
12,7,6|7|8|9|10|11|12,1908.9176,10.45755,,,0.8571
12,8,5|6|7|8|9|10|11|12,1908.9174,10.29438,,,0.75
12,9,4|5|6|7|8|9|10|11|12,1908.9174,10.16156,,,0.6667
12,10,3|4|5|6|7|8|9|10|11|12,1908.9174,10.06019,,,0.6
12,11,2|3|4|5|6|7|8|9|10|11|12,1908.9174,9.99141,,,0.5455
12,12,1|2|3|4|5|6|7|8|9|10|11|12,1908.9174,9.95641,1,1908.9174,0.5
16,1,16,36995.2092,16.0,,,1.0
16,2,15|16,3630.3918,15.60672,,,1.0
16,3,14|15|16,1990.274,15.21497,,,1.0
16,4,13|14|15|16,1912.7337,14.84431,4,8061.1288,1.0
16,5,12|13|14|15|16,1909.0951,14.49643,,,1.0
16,6,11|12|13|14|15|16,1908.9256,14.17221,,,1.0
16,7,10|11|12|13|14|15|16,1908.9177,13.87249,,,1.0
16,8,9|10|11|12|13|14|15|16,1908.9174,13.59817,2,3887.0701,1.0
16,9,8|9|10|11|12|13|14|15|16,1908.9174,13.35017,,,0.8889
16,10,7|8|9|10|11|12|13|14|15|16,1908.9174,13.12945,,,0.8
16,11,6|7|8|9|10|11|12|13|14|15|16,1908.9174,12.93699,,,0.7273
16,12,5|6|7|8|9|10|11|12|13|14|15|16,1908.9174,12.77381,,,0.6667
16,13,4|5|6|7|8|9|10|11|12|13|14|15|16,1908.9174,12.64099,,,0.6154
16,14,3|4|5|6|7|8|9|10|11|12|13|14|15|16,1908.9174,12.53963,,,0.5714
16,15,1|2|4|5|6|7|8|9|10|11|12|13|14|15|16,1908.9174,12.47022,,,0.5333
16,16,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,1908.9174,12.43585,1,1908.9174,0.5
