scenario,param,value,J,bottleneck,mix
C,rho,0.5,0.148886732235645,테스터,8단k2:26% 12단k2:71% 16단k4:3%
C,rho,0.6,0.15036143717871422,테스터,12단k2:97% 16단k4:3%
C,rho,0.7,0.15036143718370337,테스터,12단k2:97% 16단k4:3%
C,rho,0.8,0.1503614371961763,테스터,12단k2:97% 16단k4:3%
C,rho,0.85,0.15036143714890632,테스터,12단k2:97% 16단k4:3%
C,rho,0.9,0.15036143720587747,테스터,12단k2:97% 16단k4:3%
C,rho,0.95,0.15036143716307265,테스터,12단k2:97% 16단k4:3%
C,rho,1.0,0.15036143721363837,테스터,12단k2:97% 16단k4:3%
C,rho,1.1,0.15036143715648975,테스터,12단k2:97% 16단k4:3%
C,rho,1.3,0.1497518335126596,본더,12단k2:99% 16단k4:1%
C,rho,1.6,0.14944146715655426,본더,12단k2:100%
C,rho,2.0,0.11512708342554365,본더,12단k1:64% 16단k2:36%
A,x,0.94,,infeasible,-
A,x,0.95,0.10080036430580518,테스터,8단k1:48% 12단k1:0% 16단k2:52%
A,x,0.955,0.11586973057973367,테스터,8단k1:38% 12단k2:62%
A,x,0.96,0.13136561703540267,테스터,8단k1:19% 12단k2:81%
A,x,0.965,0.15036143720587747,테스터,12단k2:97% 16단k4:3%
A,x,0.97,0.1672680610516753,테스터,12단k2:79% 16단k4:21%
A,x,0.975,0.18952501936623295,테스터,8단k2:52% 16단k4:48%
A,x,0.98,0.22622431184961533,본더,12단k2:18% 16단k4:82%
A,x,0.985,0.25675497677380577,본더,16단k4:100%
A,x,0.99,0.2757699735535551,본더,16단k4:100%
B,a,0,0.16691120067292253,테스터,12단k2:97% 16단k4:3%
B,a,1,0.16100414419797004,테스터,12단k2:97% 16단k4:3%
B,a,1.4,0.15875675725897898,테스터,12단k2:97% 16단k4:3%
B,a,2,0.15550090288438007,테스터,12단k2:97% 16단k4:3%
B,a,3,0.15036143720587747,테스터,12단k2:97% 16단k4:3%
B,a,4,0.1455508316725154,테스터,12단k2:97% 16단k4:3%
B,a,6,0.13679753693974941,테스터,12단k2:97% 16단k4:3%
B,a,8,0.12903734810069659,테스터,12단k2:97% 16단k4:3%
B,a,10,0.12144519945499446,본더,8단k4:2% 12단k2:12% 16단k2:86%
B,a,12,0.11601031738492935,본더,16단k2:100%
B,theta,1,0.19340643850186365,본더,12단k1:100%
B,theta,2,0.18422683965870626,본더,12단k2:100%
B,theta,3,0.15036143720587747,테스터,12단k2:97% 16단k4:3%
B,theta,5,0.10933852682228522,테스터,12단k2:97% 16단k4:3%
D,beta,0.84,,infeasible,-
D,beta,0.88,,infeasible,-
D,beta,0.92,0.11318650031196388,테스터,8단k1:48% 12단k1:21% 16단k2:30%
D,beta,0.95,0.15036143720587747,테스터,12단k2:97% 16단k4:3%
D,beta,0.97,0.17434423805483196,본더,8단k2:15% 12단k4:69% 16단k2:16%
D,beta,0.99,0.1754668266391744,본더,12단k4:74% 16단k2:26%
F,layer_premium,0.0,0.15036143720587747,테스터,12단k2:97% 16단k4:3%
F,layer_premium,0.05,0.15655911489747404,테스터,12단k2:97% 16단k4:3%
F,layer_premium,0.1,0.16823670977727864,테스터,12단k4:2% 16단k2:98%
F,layer_premium,0.15,0.17969919713376073,테스터,12단k4:2% 16단k2:98%
F,layer_premium,0.25,0.20262417184672513,테스터,12단k4:2% 16단k2:98%
