J,axis,bottleneck,k_bar_bonder,k_bar_tester,knee_ppm,phi_final,plateau,share_12,share_16,share_8,status,transition,verdict
,viif,,1.0,4.0,,1.0,,,,,,,유지
,viif,,1.0,4.0,,2.0,,,,,,,유지
,viif,,1.0,4.0,,3.0,,,,,,,유지
,viif,,1.0,4.0,,5.0,,,,,,,유지
,viif,,1.0,4.0,,8.0,,,,,,,유지
,viif,,1.0,4.0,,12.0,,,,,,,유지
,viif,,1.0,4.0,,16.0,,,,,,,유지
,viif,,1.0,4.0,,20.0,,,,,,,유지
0.15036,baseline,테스터,,,,1.0,,97.32,2.68,0.0,ok,1.2872,
0.14126,baseline,테스터,,,,2.0,,97.32,2.68,0.0,ok,1.4346,
0.1328,baseline,테스터,,,,3.0,,2.03,97.97,0.0,ok,1.582,
0.12227,baseline,테스터,,,,5.0,,2.03,97.97,0.0,ok,1.7463,
0.10927,baseline,테스터,,,,8.0,,2.03,97.97,0.0,ok,2.073,
,baseline,,,,,12.0,,,,,infeasible,2.5085,
,baseline,,,,,16.0,,,,,infeasible,2.9448,
,baseline,,,,,20.0,,,,,infeasible,3.3778,
,knee,,,,410,1.0,0.7284,,,,,,
,knee,,,,410,3.0,0.9259,,,,,,
,knee,,,,410,8.0,1.4511,,,,,,
,knee,,,,410,20.0,2.7116,,,,,,
